total_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,new_cases,new_deaths,%deaths,%cases,clusters
8200,0.02,0.02,0.0,39835428,691,43,0.006132732,0.139860428,0
54000,0.14,0.14,0.0,39835428,740,41,0.006235655,0.141718071,0
240000,0.6,0.6,0.0,39835428,3291,141,0.006589612,0.149979561,0
600152,1.51,1.21,0.3,39835428,12093,319,0.007390406,0.18033696,0
886854,2.23,1.76,0.47,39835428,46821,1927,0.012227809,0.297873039,0
1171064,2.94,1.87,0.55,39835428,28495,1837,0.016839282,0.369404842,0
1979652,4.97,1.94,1.08,39835428,6066,410,0.017868516,0.384632493,0
2369625,5.95,2.08,1.08,39835428,1954,86,0.018084405,0.389537675,0
2369625,5.95,2.08,1.08,39835428,1076,76,0.01827519,0.392238788,0
4018197,10.09,8.86,8.0,39835428,1039,28,0.018345479,0.394847019,0
4674518,11.73,10.4,9.42,39835428,795,48,0.018465975,0.39684273,0
5125146,12.87,11.43,9.77,39835428,4848,58,0.018611574,0.408997739,0
5535254,13.9,12.32,10.62,39835428,10733,184,0.019073474,0.435941092,0
5597130,14.05,12.43,10.75,39835428,3999,67,0.019241666,0.445979895,0
549,0.02,0.02,0.0,2872934,19811,199,0.048034518,2.719415065,0
10135,0.35,0.21,0.02,2872934,29040,416,0.062514489,3.730228401,0
138846,4.83,0.21,0.02,2872934,17990,439,0.077795035,4.356417516,0
476903,16.6,0.21,0.02,2872934,5928,159,0.083329446,4.562757098,0
776461,27.03,16.92,10.11,2872934,1230,57,0.085313481,4.605570473,0
968034,33.69,19.65,14.05,2872934,206,5,0.085487519,4.612740843,0
1198933,41.73,23.33,18.4,2872934,560,1,0.085522327,4.632233111,0
1472316,51.25,28.9,22.34,2872934,13306,41,0.086949439,5.095383326,0
1741373,60.61,32.95,27.67,2872934,23744,200,0.093910963,5.921855497,0
1901824,66.2,35.29,30.9,2872934,15169,226,0.101777486,6.449852311,1
2101039,73.13,37.34,33.45,2872934,14645,172,0.107764397,6.959609932,1
2316606,80.64,39.73,35.89,2872934,10279,121,0.111976119,7.317397476,1
2523683,87.84,42.12,38.69,2872934,48319,129,0.116466302,8.999266951,1
2702638,94.07,44.2,41.64,2872934,13020,123,0.12074764,9.452462187,1
2708574,94.28,44.23,41.73,2872934,1966,23,0.121548215,9.520893971,1
30,0.0,0.0,0.0,44616626,7729,135,0.006479647,0.24058072,0
75000,0.17,0.17,0.0,44616626,5753,92,0.006685848,0.253475016,0
75000,0.17,0.17,0.0,44616626,4100,110,0.006932393,0.262664416,0
75000,0.17,0.17,0.0,44616626,4916,160,0.007291004,0.27368273,0
75000,0.17,0.17,0.0,44616626,6805,219,0.007781852,0.288934892,0
75000,0.17,0.17,0.0,44616626,10713,244,0.008328734,0.31294612,0
75000,0.17,0.17,0.0,44616626,31766,538,0.009534562,0.384143794,0
4146091,9.29,7.67,1.62,44616626,24688,1015,0.011809499,0.439477427,0
10049978,22.53,13.49,9.04,44616626,7279,543,0.013026534,0.455791973,0
11179354,25.06,14.26,10.79,44616626,3093,108,0.013268596,0.462724366,0
12293060,27.55,15.41,12.08,44616626,4079,151,0.013607035,0.471866698,0
12545356,28.12,15.83,12.57,44616626,7901,205,0.014066505,0.489575344,0
12974545,29.08,16.24,12.99,44616626,33685,303,0.014745624,0.565074105,0
13631683,30.55,16.71,13.62,44616626,12819,256,0.015319401,0.593805547,0
13631683,30.55,16.71,13.62,44616626,715,39,0.015406813,0.595408088,0
576,0.74,0.74,0.0,77354,1888,17,0.130568555,12.84613595,0
2526,3.27,3.09,0.0,77354,929,9,0.142203377,14.0471081,0
9288,12.01,9.18,1.64,77354,1144,5,0.148667167,15.52602322,0
28503,36.85,30.8,6.05,77354,1222,10,0.161594746,17.10577346,1
35916,46.43,35.7,10.73,77354,495,2,0.164180262,17.74568865,1
68329,88.33,53.93,34.4,77354,184,0,0.164180262,17.98355612,1
82349,106.46,62.63,43.83,77354,767,1,0.16547302,18.97510148,1
95918,124.0,68.4,55.6,77354,355,2,0.168058536,19.43403056,1
102032,131.9,70.21,61.69,77354,189,0,0.168058536,19.67836182,1
104534,135.14,71.1,64.04,77354,294,0,0.168058536,20.05843266,1
104534,135.14,71.1,64.04,77354,1599,1,0.169351294,22.12555265,1
117246,151.57,73.8,66.44,77354,6625,9,0.180986116,30.6900742,1
140193,181.24,74.6,68.65,77354,12218,5,0.187449906,46.48499108,1
142420,184.11,74.72,68.84,77354,2041,6,0.195206453,49.1235101,1
130750,0.39,0.39,0.0,33933611,1504,29,0.001582502,0.065748971,0
456349,1.34,1.34,0.0,33933611,4341,59,0.001756371,0.078541597,0
909215,2.68,2.0,0.68,33933611,7899,170,0.002257349,0.101819403,0
1488292,4.39,2.78,1.61,33933611,4298,134,0.002652238,0.114485311,0
1592537,4.69,2.82,1.87,33933611,3928,111,0.002979347,0.126060855,0
1841568,5.43,3.27,2.15,33933611,4767,206,0.003586415,0.140108873,0
3134137,9.24,6.27,2.97,33933611,9039,320,0.004529432,0.16674618,0
6164219,18.17,13.26,4.91,33933611,7850,173,0.005039251,0.189879586,0
9026310,26.6,18.47,8.13,33933611,735,23,0.005107031,0.19204558,0
11615144,34.23,22.65,11.58,33933611,16425,37,0.005216067,0.240448917,0
14588435,42.99,28.63,13.94,33933611,16523,125,0.005584434,0.289141053,0
16259606,47.92,31.21,16.06,33933611,625,5,0.005599168,0.290982884,0
16633167,49.02,31.77,16.53,33933611,397,0,0.005599168,0.292152816,0
3929,25.98,25.98,0.0,15125,2,0,0.0,0.119008264,0
5348,35.36,35.36,0.0,15125,7,0,0.0,0.165289256,0
6898,45.61,40.43,5.18,15125,68,0,0.0,0.614876033,0
14443,95.49,59.53,35.96,15125,16,0,0.0,0.720661157,1
15789,104.39,61.25,43.14,15125,0,0,0.0,0.720661157,1
18193,120.28,62.33,57.95,15125,4,0,0.0,0.747107438,1
18458,122.04,62.76,59.27,15125,104,0,0.0,1.434710744,1
18584,122.87,62.8,60.07,15125,192,1,0.00661157,2.704132231,1
18705,123.67,63.13,60.54,15125,535,0,0.00661157,6.241322314,1
19730,130.45,65.53,60.54,15125,442,3,0.026446281,9.163636364,1
20284,134.11,66.64,60.98,15125,288,2,0.033057851,11.0677686,1
21449,141.81,67.39,61.73,15125,650,3,0.052892562,15.36528926,1
22165,146.55,68.56,63.01,15125,231,1,0.059504132,16.89256198,1
22377,147.95,69.02,63.13,15125,145,0,0.059504132,17.85123967,1
0,0.0,0.0,0.0,98728,496,7,0.014180374,0.739405235,0
26836,27.18,27.18,0.0,98728,406,14,0.028360749,1.150636091,0
29754,30.14,30.14,0.0,98728,96,4,0.032412284,1.247872944,0
50329,50.98,33.89,17.08,98728,29,10,0.042541123,1.276233693,0
63995,64.82,36.9,27.92,98728,3,0,0.042541123,1.279272344,0
68850,69.74,38.64,31.1,98728,40,1,0.043554007,1.3197877,0
75069,76.04,41.59,34.45,98728,412,1,0.044566891,1.737095859,0
93318,94.52,51.81,42.71,98728,1516,35,0.080017827,3.272627826,1
106387,107.76,56.99,50.76,98728,827,23,0.103314156,4.110282797,1
117637,119.15,62.21,56.94,98728,83,15,0.118507414,4.194352159,1
121146,122.71,63.09,59.62,98728,142,2,0.120533182,4.338181671,1
123555,125.15,64.01,61.14,98728,2344,8,0.128636253,6.712381493,1
124726,126.33,64.4,61.93,98728,810,8,0.136739324,7.532817438,1
125031,126.64,64.52,62.12,98728,54,0,0.136739324,7.587513167,1
32013,0.07,0.0,0.0,45605823,200981,4515,0.094823418,3.564268536,0
366384,0.8,0.62,0.19,45605823,301725,4729,0.105192708,4.225861684,0
1025003,2.25,1.6,0.64,45605823,180126,3991,0.113943783,4.620824407,0
3891932,8.53,7.05,1.49,45605823,241456,3893,0.122479974,5.15026557,0
7865213,17.25,15.19,2.06,45605823,628542,8007,0.140036942,6.528471156,0
12257297,26.88,20.78,6.1,45605823,804421,14228,0.171234713,8.292327057,0
20543325,45.05,36.19,8.86,45605823,688590,16211,0.206780612,9.802200039,1
