country,iso_code,month_year,vaccines,total_vaccinations,people_vaccinated,people_fully_vaccinated,monthly_vaccinations_raw,monthly_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,monthly_vaccinations_per_million,continent,population,new_cases,total_cases,new_deaths,total_deaths,%deaths,%cases
Afghanistan,AFG,2021-02,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",8200.0,8200.0,0.0,0.0,8202.0,0.02,0.02,0.0,204.0,Asia,39835428.0,691.0,55714.0,43.0,2443.0,0.006132731898851444,0.13986042775792443
Afghanistan,AFG,2021-03,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",54000.0,54000.0,0.0,0.0,85894.0,0.14,0.14,0.0,2154.0,Asia,39835428.0,740.0,56454.0,41.0,2484.0,0.006235655356834624,0.14171807065810865
Afghanistan,AFG,2021-04,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",240000.0,240000.0,0.0,0.0,219606.0,0.6,0.6,0.0,5511.0,Asia,39835428.0,3291.0,59745.0,141.0,2625.0,0.006589611639167025,0.14997956090744147
Afghanistan,AFG,2021-05,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",600152.0,480226.0,119926.0,2859.0,285838.0,1.51,1.21,0.3,7171.0,Asia,39835428.0,12093.0,71838.0,319.0,2944.0,0.007390406348841037,0.18033696035599267
Afghanistan,AFG,2021-06,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",886854.0,699200.0,187654.0,4015.0,242899.0,2.23,1.76,0.47,6097.0,Asia,39835428.0,46821.0,118659.0,1927.0,4871.0,0.012227808874050507,0.297873039044541
Afghanistan,AFG,2021-07,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1171064.0,742934.0,219159.0,0.0,337196.0,2.94,1.87,0.55,8466.0,Asia,39835428.0,28495.0,147154.0,1837.0,6708.0,0.016839281857345678,0.3694048423428512
Afghanistan,AFG,2021-08,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1979652.0,773002.0,430744.0,0.0,591825.0,4.97,1.94,1.08,14854.0,Asia,39835428.0,6066.0,153220.0,410.0,7118.0,0.01786851643717748,0.38463249346787487
Afghanistan,AFG,2021-09,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2369625.0,828601.0,0.0,0.0,563255.0,5.95,2.08,0.0,14132.0,Asia,39835428.0,1954.0,155174.0,86.0,7204.0,0.01808440466611781,0.38953767485565866
Afghanistan,AFG,2021-10,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",0.0,0.0,0.0,0.0,1064777.0,0.0,0.0,0.0,26738.0,Asia,39835428.0,1076.0,156250.0,76.0,7280.0,0.018275189612623217,0.3922387880456562
Afghanistan,AFG,2021-11,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",4018197.0,3530173.0,3188609.0,0.0,821215.0,10.09,8.86,8.0,20618.0,Asia,39835428.0,1039.0,157289.0,28.0,7308.0,0.018345478803440996,0.39484701909064457
Afghanistan,AFG,2021-12,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",4674518.0,4142857.0,3753224.0,0.0,476498.0,11.73,10.4,9.42,11958.0,Asia,39835428.0,795.0,158084.0,48.0,7356.0,0.01846597455912862,0.39684273004422094
Afghanistan,AFG,2022-01,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",5125146.0,4554648.0,3892831.0,6868.0,399710.0,12.87,11.43,9.77,10038.0,Asia,39835428.0,4848.0,162926.0,58.0,7414.0,0.01861157359725117,0.4089977393992102
Afghanistan,AFG,2022-02,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",5535254.0,4907058.0,4231984.0,0.0,406044.0,13.9,12.32,10.62,10195.0,Asia,39835428.0,10733.0,173659.0,184.0,7598.0,0.019073473994053736,0.43594109243661194
Afghanistan,AFG,2022-03,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",5597130.0,4952744.0,4281934.0,0.0,71731.0,14.05,12.43,10.75,1800.0,Asia,39835428.0,3999.0,177658.0,67.0,7665.0,0.01924166598636771,0.44597989508233726
Albania,ALB,2021-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",549.0,549.0,0.0,421.0,741.0,0.02,0.02,0.0,257.0,Europe,2872934.0,19811.0,78127.0,199.0,1380.0,0.04803451802234232,2.7194150648779263
Albania,ALB,2021-02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",10135.0,6073.0,655.0,2476.0,9504.0,0.35,0.21,0.02,3305.0,Europe,2872934.0,29040.0,107167.0,416.0,1796.0,0.06251448867255564,3.730228400652434
Albania,ALB,2021-03,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",138846.0,0.0,0.0,49296.0,78590.0,4.83,0.0,0.0,27354.0,Europe,2872934.0,17990.0,125157.0,439.0,2235.0,0.07779503462314136,4.35641751603065
