country,iso_code,month_year,vaccines,total_vaccinations,people_vaccinated,people_fully_vaccinated,monthly_vaccinations_raw,monthly_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,monthly_vaccinations_per_million,continent,population,new_cases,total_cases,new_deaths,total_deaths,%deaths,%cases
Afghanistan,AFG,2021-02,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",8200,8200,0,0,8202,0.02,0.02,0,204,Asia,39835428,691,55714,43,2443,0.006132732,0.139860428
Afghanistan,AFG,2021-03,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",54000,54000,0,0,85894,0.14,0.14,0,2154,Asia,39835428,740,56454,41,2484,0.006235655,0.141718071
Afghanistan,AFG,2021-04,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",240000,240000,0,0,219606,0.6,0.6,0,5511,Asia,39835428,3291,59745,141,2625,0.006589612,0.149979561
Afghanistan,AFG,2021-05,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",600152,480226,119926,2859,285838,1.51,1.21,0.3,7171,Asia,39835428,12093,71838,319,2944,0.007390406,0.18033696
Afghanistan,AFG,2021-06,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",886854,699200,187654,4015,242899,2.23,1.76,0.47,6097,Asia,39835428,46821,118659,1927,4871,0.012227809,0.297873039
Afghanistan,AFG,2021-07,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1171064,742934,219159,0,337196,2.94,1.87,0.55,8466,Asia,39835428,28495,147154,1837,6708,0.016839282,0.369404842
Afghanistan,AFG,2021-08,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1979652,773002,430744,0,591825,4.97,1.94,1.08,14854,Asia,39835428,6066,153220,410,7118,0.017868516,0.384632493
Afghanistan,AFG,2021-09,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2369625,828601,430744,0,563255,5.95,2.08,1.08,14132,Asia,39835428,1954,155174,86,7204,0.018084405,0.389537675
Afghanistan,AFG,2021-10,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2369625,828601,430744,0,1064777,5.95,2.08,1.08,26738,Asia,39835428,1076,156250,76,7280,0.01827519,0.392238788
Afghanistan,AFG,2021-11,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",4018197,3530173,3188609,0,821215,10.09,8.86,8,20618,Asia,39835428,1039,157289,28,7308,0.018345479,0.394847019
Afghanistan,AFG,2021-12,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",4674518,4142857,3753224,0,476498,11.73,10.4,9.42,11958,Asia,39835428,795,158084,48,7356,0.018465975,0.39684273
Afghanistan,AFG,2022-01,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",5125146,4554648,3892831,6868,399710,12.87,11.43,9.77,10038,Asia,39835428,4848,162926,58,7414,0.018611574,0.408997739
Afghanistan,AFG,2022-02,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",5535254,4907058,4231984,0,406044,13.9,12.32,10.62,10195,Asia,39835428,10733,173659,184,7598,0.019073474,0.435941092
Afghanistan,AFG,2022-03,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",5597130,4952744,4281934,0,71731,14.05,12.43,10.75,1800,Asia,39835428,3999,177658,67,7665,0.019241666,0.445979895
Albania,ALB,2021-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",549,549,0,421,741,0.02,0.02,0,257,Europe,2872934,19811,78127,199,1380,0.048034518,2.719415065
Albania,ALB,2021-02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",10135,6073,655,2476,9504,0.35,0.21,0.02,3305,Europe,2872934,29040,107167,416,1796,0.062514489,3.730228401
Albania,ALB,2021-03,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",138846,6073,655,49296,78590,4.83,0.21,0.02,27354,Europe,2872934,17990,125157,439,2235,0.077795035,4.356417516
Albania,ALB,2021-04,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",476903,6073,655,295509,339023,16.6,0.21,0.02,118004,Europe,2872934,5928,131085,159,2394,0.083329446,4.562757098
Albania,ALB,2021-05,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",776461,486128,290333,204550,333048,27.03,16.92,10.11,115927,Europe,2872934,1230,132315,57,2451,0.085313481,4.605570473
Albania,ALB,2021-06,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",968034,564530,403504,134454,180622,33.69,19.65,14.05,62871,Europe,2872934,206,132521,5,2456,0.085487519,4.612740843
Albania,ALB,2021-07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",1198933,670215,528718,140805,228113,41.73,23.33,18.4,79398,Europe,2872934,560,133081,1,2457,0.085522327,4.632233111
Albania,ALB,2021-08,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",1472316,830396,641920,140424,267844,51.25,28.9,22.34,93230,Europe,2872934,13306,146387,41,2498,0.086949439,5.095383326
Albania,ALB,2021-09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",1741373,946495,794878,198500,279183,60.61,32.95,27.67,97175,Europe,2872934,23744,170131,200,2698,0.093910963,5.921855497
Albania,ALB,2021-10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",1901824,1013959,887865,103442,178646,66.2,35.29,30.9,62180,Europe,2872934,15169,185300,226,2924,0.101777486,6.449852311
Albania,ALB,2021-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2101039,1072645,961013,43268,195174,73.13,37.34,33.45,67934,Europe,2872934,14645,199945,172,3096,0.107764397,6.959609932
Albania,ALB,2021-12,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2316606,1141486,1031132,65224,225969,80.64,39.73,35.89,78652,Europe,2872934,10279,210224,121,3217,0.111976119,7.317397476
Albania,ALB,2022-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2523683,1210040,1111520,20290,202067,87.84,42.12,38.69,70329,Europe,2872934,48319,258543,129,3346,0.116466302,8.999266951
Albania,ALB,2022-02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2702638,1269746,1196277,16491,178941,94.07,44.2,41.64,62285,Europe,2872934,13020,271563,123,3469,0.12074764,9.452462187
Albania,ALB,2022-03,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2708574,1270745,1198759,0,2779,94.28,44.23,41.73,967,Europe,2872934,1966,273529,23,3492,0.121548215,9.520893971
Algeria,DZA,2021-01,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",30,30,0,30,1919,0,0,0,43,Africa,44616626,7729,107339,135,2891,0.006479647,0.24058072
Algeria,DZA,2021-02,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",75000,75000,0,0,212612,0.17,0.17,0,4764,Africa,44616626,5753,113092,92,2983,0.006685848,0.253475016
Algeria,DZA,2021-03,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",75000,75000,0,0,693439,0.17,0.17,0,15531,Africa,44616626,4100,117192,110,3093,0.006932393,0.262664416
Algeria,DZA,2021-04,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",75000,75000,0,0,671070,0.17,0.17,0,15030,Africa,44616626,4916,122108,160,3253,0.007291004,0.27368273
Algeria,DZA,2021-05,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",75000,75000,0,0,693439,0.17,0.17,0,15531,Africa,44616626,6805,128913,219,3472,0.007781852,0.288934892
Algeria,DZA,2021-06,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",75000,75000,0,0,671070,0.17,0.17,0,15030,Africa,44616626,10713,139626,244,3716,0.008328734,0.31294612
Algeria,DZA,2021-07,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",75000,75000,0,0,693439,0.17,0.17,0,15531,Africa,44616626,31766,171392,538,4254,0.009534562,0.384143794
Algeria,DZA,2021-08,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",4146091,3421279,724812,0,2569903,9.29,7.67,1.62,57594,Africa,44616626,24688,196080,1015,5269,0.011809499,0.439477427
Algeria,DZA,2021-09,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",10049978,6017036,4032942,0,3923972,22.53,13.49,9.04,87950,Africa,44616626,7279,203359,543,5812,0.013026534,0.455791973
Algeria,DZA,2021-10,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",11179354,6364327,4815027,0,1031025,25.06,14.26,10.79,23118,Africa,44616626,3093,206452,108,5920,0.013268596,0.462724366
Algeria,DZA,2021-11,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",12293060,6875003,5391232,170756,973754,27.55,15.41,12.08,21824,Africa,44616626,4079,210531,151,6071,0.013607035,0.471866698
Algeria,DZA,2021-12,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",12545356,7060737,5609040,0,573211,28.12,15.83,12.57,12847,Africa,44616626,7901,218432,205,6276,0.014066505,0.489575344
Algeria,DZA,2022-01,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",12974545,7247787,5796432,0,579285,29.08,16.24,12.99,12988,Africa,44616626,33685,252117,303,6579,0.014745624,0.565074105
Algeria,DZA,2022-02,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",13631683,7456361,6076272,0,306304,30.55,16.71,13.62,6866,Africa,44616626,12819,264936,256,6835,0.015319401,0.593805547
Algeria,DZA,2022-03,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",13631683,7456361,6076272,0,0,30.55,16.71,13.62,0,Africa,44616626,715,265651,39,6874,0.015406813,0.595408088
Andorra,AND,2021-01,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",576,576,0,0,396,0.74,0.74,0,5118,Europe,77354,1888,9937,17,101,0.130568555,12.84613595
Andorra,AND,2021-02,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2526,2390,0,0,1710,3.27,3.09,0,22108,Europe,77354,929,10866,9,110,0.142203377,14.0471081
Andorra,AND,2021-03,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",9288,7098,1265,0,8579,12.01,9.18,1.64,110908,Europe,77354,1144,12010,5,115,0.148667167,15.52602322
Andorra,AND,2021-04,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",28503,23822,4681,4802,17392,36.85,30.8,6.05,224837,Europe,77354,1222,13232,10,125,0.161594746,17.10577346
Andorra,AND,2021-05,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",35916,27613,8303,0,6692,46.43,35.7,10.73,86512,Europe,77354,495,13727,2,127,0.164180262,17.74568865
Andorra,AND,2021-06,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",68329,41716,26613,0,32200,88.33,53.93,34.4,416266,Europe,77354,184,13911,0,127,0.164180262,17.98355612
