country,Population (2020),iso_code,month_year,vaccines,total_vaccinations,people_vaccinated,people_fully_vaccinated,monthly_vaccinations_raw,monthly_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,monthly_vaccinations_per_million
Afghanistan,39074280,AFG,2021-02,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",8200.0,8200.0,0.0,0.0,8202.0,0.02,0.02,0.0,204.0
Afghanistan,39074280,AFG,2021-03,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",54000.0,54000.0,0.0,0.0,85894.0,0.14,0.14,0.0,2154.0
Afghanistan,39074280,AFG,2021-04,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",240000.0,240000.0,0.0,0.0,219606.0,0.6,0.6,0.0,5511.0
Afghanistan,39074280,AFG,2021-05,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",600152.0,480226.0,119926.0,2859.0,285838.0,1.51,1.21,0.3,7171.0
Afghanistan,39074280,AFG,2021-06,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",886854.0,699200.0,187654.0,4015.0,242899.0,2.23,1.76,0.47,6097.0
Afghanistan,39074280,AFG,2021-07,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1171064.0,742934.0,219159.0,0.0,337196.0,2.94,1.87,0.55,8466.0
Afghanistan,39074280,AFG,2021-08,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1979652.0,773002.0,430744.0,0.0,591825.0,4.97,1.94,1.08,14854.0
Afghanistan,39074280,AFG,2021-09,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2369625.0,828601.0,0.0,0.0,563255.0,5.95,2.08,0.0,14132.0
Afghanistan,39074280,AFG,2021-10,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",0.0,0.0,0.0,0.0,1064777.0,0.0,0.0,0.0,26738.0
Afghanistan,39074280,AFG,2021-11,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",4018197.0,3530173.0,3188609.0,0.0,821215.0,10.09,8.86,8.0,20618.0
Afghanistan,39074280,AFG,2021-12,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",4674518.0,4142857.0,3753224.0,0.0,476498.0,11.73,10.4,9.42,11958.0
Afghanistan,39074280,AFG,2022-01,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",5125146.0,4554648.0,3892831.0,6868.0,399710.0,12.87,11.43,9.77,10038.0
Afghanistan,39074280,AFG,2022-02,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",5535254.0,4907058.0,4231984.0,0.0,406044.0,13.9,12.32,10.62,10195.0
Afghanistan,39074280,AFG,2022-03,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",5597130.0,4952744.0,4281934.0,0.0,71731.0,14.05,12.43,10.75,1800.0
Albania,2877239,ALB,2021-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",549.0,549.0,0.0,421.0,741.0,0.02,0.02,0.0,257.0
Albania,2877239,ALB,2021-02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",10135.0,6073.0,655.0,2476.0,9504.0,0.35,0.21,0.02,3305.0
Albania,2877239,ALB,2021-03,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",138846.0,0.0,0.0,49296.0,78590.0,4.83,0.0,0.0,27354.0
Albania,2877239,ALB,2021-04,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",476903.0,0.0,0.0,295509.0,339023.0,16.6,0.0,0.0,118004.0
Albania,2877239,ALB,2021-05,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",776461.0,486128.0,290333.0,204550.0,333048.0,27.03,16.92,10.11,115927.0
Albania,2877239,ALB,2021-06,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",968034.0,564530.0,403504.0,134454.0,180622.0,33.69,19.65,14.05,62871.0
Albania,2877239,ALB,2021-07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",1198933.0,670215.0,528718.0,140805.0,228113.0,41.73,23.33,18.4,79398.0
Albania,2877239,ALB,2021-08,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",1472316.0,830396.0,641920.0,140424.0,267844.0,51.25,28.9,22.34,93230.0
Albania,2877239,ALB,2021-09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",1741373.0,946495.0,794878.0,198500.0,279183.0,60.61,32.95,27.67,97175.0
Albania,2877239,ALB,2021-10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",1901824.0,1013959.0,887865.0,103442.0,178646.0,66.2,35.29,30.9,62180.0
Albania,2877239,ALB,2021-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2101039.0,1072645.0,961013.0,43268.0,195174.0,73.13,37.34,33.45,67934.0
Albania,2877239,ALB,2021-12,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2316606.0,1141486.0,1031132.0,65224.0,225969.0,80.64,39.73,35.89,78652.0
Albania,2877239,ALB,2022-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2523683.0,1210040.0,1111520.0,20290.0,202067.0,87.84,42.12,38.69,70329.0
